20241201	09:00:53	a2ebdd71-248b-4008-a1a8-0c39c64949fd	GET	undefined	/css/style.css
20241201	09:01:01	82133439-999b-40df-bdb6-5b8230a9f0ad	GET	undefined	/subdir/kjk
20241201	09:01:01	3ff61250-0aea-4204-8471-e910b091cdf7	GET	undefined	/css/style.css
20241201	09:01:14	5185e341-d6c8-408f-892e-4680175fcc9e	GET	undefined	/subdir/test/kk
20241201	09:01:14	d8a3d5a5-ce0a-4310-9e7b-ba54b62704c8	GET	undefined	/subdir/css/style.css
20241201	09:05:21	e618e718-7e08-4cf9-8fe4-f437af32eea8	GET	undefined	/subdir/test/kk
20241201	09:05:21	4af8b73a-92bf-4f72-9c3f-f5b4cb8b4d80	GET	undefined	/subdir/css/style.css
20241201	09:07:00	1490e0d0-d056-4929-8547-04a66893948c	GET	undefined	/subdir/test/kk
20241201	09:07:00	e749fe0a-22a6-4d4c-934c-1f18ed701a8a	GET	undefined	/subdir/public/css/style.css
20241201	09:07:02	3e09d0cf-b743-414d-a87e-c2f90aa26b92	GET	undefined	/subdir/test/kk
20241201	09:07:02	c730fd1e-b666-46ed-b390-2cf86ab36561	GET	undefined	/subdir/public/css/style.css
20241201	09:07:32	4172ceae-f9bb-4538-952a-fddd77d82c68	GET	undefined	/subdir/test/kk
20241201	09:07:32	496126a7-4e87-4270-a194-456f41d82fc6	GET	undefined	/css/style.css
20241201	09:07:52	c281582d-72e4-41e3-9928-a215f7eda394	GET	undefined	/
20241201	09:07:52	ac87865a-117a-4b9c-8197-49b810626914	GET	undefined	/public/css/style.css
20241201	09:08:00	1bef986a-a1f9-4b30-a146-fe0ec2d77e5e	GET	undefined	/
20241201	09:08:00	c233aada-809d-4f25-9e3c-d649b78bea4b	GET	undefined	/css/style.css
20241201	09:08:17	4b6297a4-a811-4fc8-a0ad-3ce55b9af742	GET	undefined	/css
20241201	09:08:17	6a65dd73-6697-4744-811b-096e7fcafa7b	GET	undefined	/css/
20241201	09:08:17	c24a6254-caaf-46fa-8414-27cd320c2045	GET	undefined	/css/style.css
20241201	09:08:21	eae13e2e-8319-4d96-8322-b64713e064db	GET	undefined	/css/style.css
20241201	09:08:37	eb4ae99d-20b9-45f3-9198-36b4228fcace	GET	undefined	/index
20241201	09:08:37	5c373557-8124-46f5-8949-7d54015fbf2d	GET	undefined	/css/style.css
20241201	09:08:48	a0716115-7c4c-4db8-a666-ccdd76997ab1	GET	undefined	/new-page
20241201	09:08:48	838a8576-d882-4b93-bc6a-05ef4a8b42b7	GET	undefined	/css/style.css
20241201	09:08:48	56cdce5d-b533-472a-b759-25ac51c6d89c	GET	undefined	/img/img1.jpg
20241201	09:08:53	107ee435-5c66-4e25-917e-b5224eb69473	GET	undefined	/new-page.html
20241201	09:08:53	9998c600-3ec9-4266-be4c-176a48dd7823	GET	undefined	/css/style.css
20241201	09:08:53	2c49274f-c572-453a-9099-da95d521eeb7	GET	undefined	/img/img1.jpg
20241201	09:08:57	f3057b63-f9a5-464f-a666-7763664500ef	GET	undefined	/new-page
20241201	09:08:57	c8610c73-176f-4b15-9049-0fad3c0369ac	GET	undefined	/css/style.css
20241201	09:08:57	04cc0719-c06b-447e-9c6b-45492eff9cfd	GET	undefined	/img/img1.jpg
20241201	09:09:05	1d0c2ff0-20ff-4518-a1f3-1e2d60a6757a	GET	undefined	/subdir/
20241201	09:09:12	f3dd2848-2ccf-4a09-abf6-98687a422f2a	GET	undefined	/subdir/test
20241201	14:37:52	394e0421-1589-4ecd-8d3f-9480b377267f	GET	undefined	/subdir/test
20241201	14:38:15	69691f6b-3ef5-417f-b3b2-6223e8844b31	GET	undefined	/employee
20241201	14:39:42	679a9e7f-0bc0-4c69-92a7-295ebe2eafad	GET	undefined	/employees
20241201	15:48:54	cd45a9c3-c997-4255-bd9c-c39198f59334	POST	undefined	/employees
20241201	15:50:14	2c90af14-d0ba-46be-956d-9afd6cfab08a	POST	undefined	/employees
20241201	15:50:36	961da32e-0a4b-4582-8e2f-3bb0ca366179	POST	undefined	/employees
20241201	15:50:44	d9924e24-f0e2-41e2-bf14-c70ad20b604c	POST	undefined	/employees
20241201	17:12:55	042c2fab-390a-481c-bc17-41f5cbf5d037	GET	undefined	/employees
20241201	17:12:59	b83cc926-5833-4022-96b6-dc15e96ccd79	POST	undefined	/employees
20241201	17:13:49	9a9afda4-087a-47d4-bf58-9590a747a15c	DELETE	undefined	/employees
20241201	17:14:20	ed148731-ccec-422b-ab64-b944b86b2545	DELETE	undefined	/employees
20241201	17:16:17	08f12a03-2797-4d2a-bc0c-a454f022c7e2	PUT	undefined	/employees
20241201	17:17:29	d85458a8-8203-425e-9d21-35d7c26a7337	GET	undefined	/employees
20241201	17:17:34	ac79c264-f973-4e3c-ab1b-5c505f5a336c	GET	undefined	/employees
20241201	17:18:00	fc91a404-4b44-4ec0-b199-d1206884a9f9	GET	undefined	/employees
20241201	17:18:14	6a57a40d-4794-4491-8f16-bbf79eaf6d0b	GET	undefined	/employees/3
